Comment,Designator,Footprint,LCSC Part #
0O 0603 IO4 to IO7 loopback,R15,RESC1608X60,C100699
2.4KO 1210 0.5W 9mA 194.4mW,R1,RESC3224X71,C174502
2.42INCHOLED,U$1,2.42INCHOLED,C124418
3A/250V,J1 J2 J7,B2B-XH-A,C158012
3A/250V,J3 J6,B3B-XH-A,C144394
3A/250V,J4 J5,B4B-XH-A,C5341203
68O 0603 100mW 8ma 4.352mw,R3 R4,RESC1608X60,C27592
120O 0603 100mW 10ma 12mw,R8 R13,RESC1608X60,C22787
270O 0603 100mW 2ma 1.08mw,R5 R6 R9 R10 R11 R14 R16,RESC1608X60,C22966
270O 0603 100mW 9ma 21.87mw,R2,RESC1608X60,C22966
300O 0603 100mW 4ma 4.8mw,R7 R12,RESC1608X60,C23025
Blue 0603 10ma 2.8vF,D5 D6 D9 D10 D11 D14 D15,LEDC1608X80N_FLAT-Y,C72041
DSUN-MP1584EN,DCDC3V3 DCDC5V,DSUN-MP1584EN,C49661
EEEFK1V101XP,C1 C2,CAP_EEEFK1V101XP,C2972719
LOLINS2MINI,U$6,LOLINS2MINI,C30734
PINHD1X2_GHOST,U$7 U$8 U$12 U$13 U$14 U$15 U$16 U$17,PINHD1X2_GHOST,C49661
PINHD1X8_GHOST,U$10 U$11,PINHD1X8_GHOST,C5224027
PINHD2X8_GHOST,U$9,PINHD2X8_GHOST,C30734
Red 0603 20ma 2.1vF,D7 D8 D12 D13,LEDC1608X80N_FLAT-Y,C2286
TMC2209_SILENTSTEPSTICK,U1 U2,TMC2209_SILENTSTEPSTICK,C5224027
WHT 0603 10ma 2.8vF,D2 D3 D4,LEDC1608X80N_FLAT-Y,C2290
WHT 0603 20ma 2.8vF,D1,LEDC1608X80N_FLAT-Y,C2290
